		vt.& vi. 	参考，查阅
grave	 [ɡreɪv]	adj. 	重大的，重要的；严重的；[音乐]沉重的；（颜色等）朴素的
		adv. 	沉重地，庄重地；极慢地
		n. 	坟墓，墓穴；埋葬…的地方；下场；死亡
		vt. 	雕刻；铭记
periods	 ['pɪrɪədz]	n. 	周期；时期( period的名词复数 )；（一段）时间；学时；句号
patterns	 ['pætənz]	n. 	榜样( pattern的名词复数 )；样品；花样；方式
		v. 	模仿( pattern的第三人称单数 )；以图案装饰；复写；使形成
bus	 [bʌs]	n. 	公共汽车，巴士，客机；（口）汽车，机器脚踏车，飞机；[计]（电脑的）总线；[电]信息转移通路，悔流条，母线
		vt. 	用公共汽车运送
		vi. 	乘公共汽车；打杂工
damage	 [ˈdæmɪdʒ]	vt.& vi. 	损害，毁坏
		n. 	损害，损毁；赔偿金
Lincoln	 [ˈlɪŋkən]	n. 	林肯（姓氏，男子名）；林肯(Abraham, 1809-1865，美国第16任总统，以解放黑奴著称于世)；林肯牌大轿车（福特汽车厂产的名牌豪华汽车）；林肯（美国城市名）
recommended	 [rekə'mendɪd]	adj. 	被推荐的
		v. 	托( recommend的过去式和过去分词 )；推荐；劝告；使显得吸引人
legislation	 [ˌledʒɪsˈleɪʃn]	n. 	立法，制定法律；法律，法规
Georgia	 [ˈdʒɔ:dʒə]	n. 	美国佐治亚州；格鲁吉亚（前苏联加盟共和国）；乔治娅（女子名）
meanwhile	 [ˈmi:nwaɪl]	adv. 	同时，其间
		n. 	其时，其间
site	 [saɪt]	n. 	地点，位置，场所；[计算机]网站；遗址；地皮
		vt. 	使坐落在；安放，设置；给…造址；为…提供场所
bond	 [bɒnd]	n. 	纽带；联系；债券；保释金
		v. 	使结合；建立互信关系；与…紧密联系；与…黏合
complicate	 [ˈkɒmplɪkeɪt]	vt. 	使复杂化；使错综，使混乱；使卷入；变复杂
		adj. 	复杂的；麻烦的；（昆虫的翅）纵折的
creation	 [kriˈeɪʃn]	n. 	制造，创造；创造物，产物；（尤指所述由上帝）创造天地，宇宙；（爵位等的）封授
